iter	Passed	Remaining
0	0	42
1	0	36
2	1	34
3	1	32
4	1	33
5	2	32
6	2	31
7	2	30
8	2	29
9	3	29
10	3	28
11	3	28
12	4	28
13	4	27
14	4	26
15	4	26
16	5	25
17	5	25
18	5	24
19	6	24
20	6	24
21	6	23
22	7	24
23	7	23
24	7	23
25	8	23
26	8	22
27	8	22
28	9	22
29	9	21
30	9	21
31	9	20
32	10	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	12	16
43	13	16
44	13	16
45	13	15
46	13	15
47	14	15
48	14	15
49	14	14
50	15	14
51	15	14
52	15	13
53	15	13
54	16	13
55	16	12
56	16	12
57	16	12
58	17	11
59	17	11
60	17	11
61	18	11
62	18	10
63	18	10
64	18	10
65	19	9
66	19	9
67	19	9
68	20	9
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	22	6
76	22	6
77	22	6
78	23	6
79	23	5
80	23	5
81	23	5
82	24	4
83	24	4
84	24	4
85	25	4
86	25	3
87	25	3
88	25	3
89	26	2
90	26	2
91	26	2
92	27	2
93	27	1
94	27	1
95	27	1
96	28	0
97	28	0
98	28	0
99	29	0
